playlist_top_song,track_id,valence,danceability
Indonesia,6Xa2rrTpSLkpx887Y115mO,0.282,0.485
Indonesia,7zxLkZbUxITHabPzGN8Xgc,0.401,0.415
Indonesia,0QzuaeCEEOV40Pn7IvKEny,0.196,0.656
Indonesia,1MgEuKnMKzbODJ5Ez94I64,0.385,0.448
Indonesia,5NvOZCjZaGGGL597exlQWv,0.507,0.432
Indonesia,6KHL1En9v6iNWjcs44mcmU,0.141,0.529
Indonesia,5MIpcd16T59wFeqAChSYwC,0.31,0.566
Indonesia,2yynRDKYqTLVTcP7FqoyVE,0.304,0.469
Malaysia,2m6Ko3CY1qXNNja8AlugNc,0.338,0.559
Malaysia,4LRPiXqCikLlN15c3yImP7,0.662,0.52
Malaysia,6I3mqTwhRpn34SLVafSH7G,0.441,0.601
Malaysia,0T5iIrXA4p5GsubkhuBIKV,0.227,0.539
Malaysia,0Q5VnK2DYzRyfqQRJuUtvi,0.538,0.703
Malaysia,4IaxDf2FixiQXq0mW7key9,0.457,0.874
Malaysia,0dcnrLo8s1rhjm8euGjI4n,0.552,0.716
Malaysia,58HvfVOeJY7lUuCqF0m3ly,0.0899,0.41
Malaysia,3AVXwaOGCEL8cmBecfcsFJ,0.912,0.69
Malaysia,02MWAaffLxlfxAUY7c5dvx,0.531,0.761
Malaysia,2eAvDnpXP5W0cVtiI0PUxV,0.454,0.609
Malaysia,5PjdY0CKGZdEuoNab3yDmX,0.478,0.591
Malaysia,5oH4DQAuu1J1800RzUsBWa,0.906,0.905
Malaysia,296nXCOv97WJNRWzIBQnoj,0.432,0.863
Malaysia,46IZ0fSY2mpAiktS3KOqds,0.13,0.604
Malaysia,67C6LHREqmytK923Ak6R0I,0.191,0.317
Malaysia,3ajNIJJmIbFFJKZcTolYZO,0.135,0.325
Malaysia,0QzuaeCEEOV40Pn7IvKEny,0.196,0.656
Malaysia,1jIMjbzcGCcCQn5iMu9CUc,0.546,0.714
Malaysia,2gzhQaCTeNgxpeB2TPllyY,0.137,0.532
Malaysia,0wHFktze2PHC5jDt3B17DC,0.332,0.902
Malaysia,5elW2CKSoqjYoJ32AGDxf1,0.651,0.738
Malaysia,5CZ40GBx1sQ9agT82CLQCT,0.0849,0.38
Malaysia,3TSLqZssCoCdDlMhCJ08XW,0.239,0.68
Malaysia,4SqWKzw0CbA05TGszDgMlc,0.466,0.575
Malaysia,2tGvwE8GcFKwNdAXMnlbfl,0.338,0.395
Malaysia,68HocO7fx9z0MgDU0ZPHro,0.723,0.628
Malaysia,4fouWK6XVHhzl78KzQ1UjL,0.415,0.695
Malaysia,4d1CG5ei1E2vGbvmgf5KKv,0.0524,0.47
Malaysia,4UG2Fm0E98LhE2dlNxiAXx,0.325,0.424
Malaysia,7xNCacksfUkYXsXuSW4vNF,0.54,0.602
Malaysia,2aTKrdenCq5qBOoJPFdn4P,0.424,0.558
Malaysia,5wANPM4fQCJwkGd4rN57mH,0.137,0.561
Malaysia,5ajjAnNRh8bxFvaVHzpPjh,0.261,0.386
Malaysia,1HsSIPLTQT354yJcQGfEY3,0.552,0.475
Malaysia,3sYZo4HrHX8tkul5FhUpVo,0.422,0.595
Malaysia,2hHeGD57S0BcopfVcmehdl,0.755,0.643
Malaysia,4qgMPzf9QOETWQFUcFkHD4,0.274,0.569
Malaysia,1HhNoOuqm1a5MXYEgAFl8o,0.555,0.728
Malaysia,0IGUXY4JbK18bu9oD4mPIm,0.645,0.755
Malaysia,6TBJkXHPhu3EsMk1bshwuI,0.151,0.536
Malaysia,4xqrdfXkTW4T0RauPLv3WA,0.27,0.357
Malaysia,3sqrvkNC6IPTIXvvbx9Arw,0.228,0.535
Malaysia,5Z9KJZvQzH6PFmb8SNkxuk,0.892,0.741
Malaysia,2DB4DdfCFMw1iaR6JaR03a,0.956,0.756
Malaysia,50nfwKoDiSYg8zOCREWAm5,0.822,0.788
Malaysia,6HU7h9RYOaPRFeh0R3UeAr,0.178,0.442
Malaysia,3afkJSKX0EAMsJXTZnDXXJ,0.25,0.578
Malaysia,1exxGxUMlJWD1h9YcE9YZH,0.442,0.609
Malaysia,1SOClUWhOi8vHZYMz3GluK,0.494,0.671
