playlist,added_at,artist_id,artist_name,track_id,track_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Lagu Teratas - Afrika Selatan,2022-05-13T12:02:41Z,1G4Rnei7H9xEN8jG4CwsgX,Mdoovar,03GRsjCSytQo3LuspJayKT,uMlando,0.812,0.646,10,-8.402,0,0.112,0.21,5.12e-5,0.0472,0.562,112.986,443091,4
Lagu Teratas - Afrika Selatan,2022-05-13T12:02:41Z,4QkKUb73NVonTlAZaShsuY,Sir Trill,03GRsjCSytQo3LuspJayKT,uMlando,0.812,0.646,10,-8.402,0,0.112,0.21,5.12e-5,0.0472,0.562,112.986,443091,4
Lagu Teratas - Afrika Selatan,2022-05-13T12:02:41Z,5zvuXUYTvZczhbPG9HZRYI,Sino Msolo,03GRsjCSytQo3LuspJayKT,uMlando,0.812,0.646,10,-8.402,0,0.112,0.21,5.12e-5,0.0472,0.562,112.986,443091,4
Lagu Teratas - Afrika Selatan,2022-05-13T12:02:41Z,1eQJUHJRurFXGd3j8i8W4x,Lady Du,03GRsjCSytQo3LuspJayKT,uMlando,0.812,0.646,10,-8.402,0,0.112,0.21,5.12e-5,0.0472,0.562,112.986,443091,4
Lagu Teratas - Afrika Selatan,2022-05-13T12:02:41Z,6WQFTzqYHmh8Ph2X0L0QLQ,Young Stunna,03GRsjCSytQo3LuspJayKT,uMlando,0.812,0.646,10,-8.402,0,0.112,0.21,5.12e-5,0.0472,0.562,112.986,443091,4
Lagu Teratas - Afrika Selatan,2022-05-13T12:02:41Z,59TFsUGgpGNqsK8CLu378i,Slade,03GRsjCSytQo3LuspJayKT,uMlando,0.812,0.646,10,-8.402,0,0.112,0.21,5.12e-5,0.0472,0.562,112.986,443091,4
Lagu Teratas - Afrika Selatan,2022-05-13T12:02:41Z,414pDI8Y502owCbg7U6Skf,Musa Keys,2UNdr8gnOQrVkSmLDeC59w,Selema (Po Po),0.872,0.577,5,-9.463,0,0.062,0.0245,0.00226,0.0492,0.256,112.997,340846,4
Lagu Teratas - Afrika Selatan,2022-05-13T12:02:41Z,53SBWd8nuUmKxJPS9quQi5,Loui,2UNdr8gnOQrVkSmLDeC59w,Selema (Po Po),0.872,0.577,5,-9.463,0,0.062,0.0245,0.00226,0.0492,0.256,112.997,340846,4
Lagu Teratas - Afrika Selatan,2022-05-13T12:02:41Z,5MJ5f1XKD9yu7aWfG8OGjz,Mellow & Sleazy,0VpVNITDUu38bpNFfD5eFZ,Chipi ke Chipi,0.816,0.393,1,-12.671,1,0.0733,0.00126,0.914,0.0333,0.289,111.997,411429,4
Lagu Teratas - Afrika Selatan,2022-05-13T12:02:41Z,2sMoqBE60rnLVDF6zhFKBI,Justin99,0VpVNITDUu38bpNFfD5eFZ,Chipi ke Chipi,0.816,0.393,1,-12.671,1,0.0733,0.00126,0.914,0.0333,0.289,111.997,411429,4
