genre,track_album_release_year,valence_mean
metal,1983,0.439952380952381
metal,1984,0.3411366666666667
metal,1985,0.5640000000000001
metal,1986,0.4306962962962963
metal,1987,0.48
metal,1988,0.39958333333333335
metal,1989,0.4342
metal,1990,0.349
metal,1991,0.4097240740740741
metal,1992,0.37352
metal,1993,0.3208666666666667
metal,1994,0.36623333333333336
metal,1995,0.3636470588235294
metal,1996,0.39272
metal,1997,0.43032258064516127
metal,1998,0.4451935483870968
metal,1999,0.33023793103448273
metal,2000,0.47496666666666665
metal,2001,0.3842777777777778
metal,2002,0.423
metal,2003,0.371695
metal,2004,0.4165188679245283
metal,2005,0.34665714285714283
metal,2006,0.34649767441860463
metal,2007,0.33703571428571427
metal,2008,0.36174285714285714
metal,2009,0.36601463414634144
metal,2010,0.3995344827586207
metal,2011,0.318675
metal,2012,0.36592068965517244
metal,2013,0.3000051282051282
metal,2014,0.3298
metal,2015,0.3206117647058824
metal,2016,0.30588875
metal,2017,0.30925833333333336
metal,2018,0.33520714285714287
metal,2019,0.3635920792079208
metal,2020,0.33563069306930693
metal,2021,0.34290744680851065
metal,2022,0.32843127413127415
metal,NA,0.37923543046357616
pop,1971,0.169
pop,1977,0.541
pop,1978,0.5525
pop,1979,0.848
pop,1980,0.566
pop,1981,0.44066666666666665
pop,1982,0.61675
pop,1983,0.7703333333333333
pop,1984,0.6335625
pop,1985,0.6648000000000001
pop,1986,0.5768
pop,1987,0.6433
pop,1988,0.7584444444444445
pop,1989,0.6333333333333333
pop,1990,0.514375
pop,1991,0.41156
pop,1992,0.58
pop,1993,0.5165
pop,1994,0.6191111111111111
pop,1995,0.3267379310344828
pop,1996,0.39775
pop,1997,0.5142142857142857
pop,1998,0.577
pop,1999,0.5754666666666667
pop,2000,0.5078846153846154
pop,2001,0.51834
pop,2002,0.5413902439024391
pop,2003,0.457709756097561
pop,2004,0.5146694444444444
pop,2005,0.503
pop,2006,0.4433692307692308
pop,2007,0.4879518072289157
pop,2008,0.5295645569620253
pop,2009,0.5606792452830188
pop,2010,0.5962393442622951
pop,2011,0.508146875
pop,2012,0.5219253731343284
pop,2013,0.5230365853658536
pop,2014,0.47312162162162164
pop,2015,0.5356562500000001
pop,2016,0.5077916666666666
pop,2017,0.5235844155844156
pop,2018,0.49075071428571426
pop,2019,0.5217296296296297
pop,2020,0.4900772925764192
pop,2021,0.544211004784689
pop,2022,0.5473326116373478
pop,NA,0.499428640776699
punk,1967,0.854
punk,1969,0.107
punk,1972,0.5585
punk,1973,0.685
punk,1976,0.9319999999999999
punk,1977,0.443
punk,1978,0.687
punk,1979,0.798
punk,1980,0.55775
punk,1981,0.352
punk,1982,0.6953333333333334
punk,1983,0.8116
