year,oct_19_Aktual,oct_19_Proyeksi,apr_22_Aktual,apr_22_Proyeksi
2019,100,NA,100,NA
2020,NA,105.07199999999999,97.93499999999999,NA
2021,NA,110.56306271999998,101.54978084999999,NA
2022,NA,116.43064445855038,NA,107.04260849617648
2023,NA,122.59448277618606,NA,113.46623543203205
2024,NA,129.0601157978021,NA,120.00642924233438
