month,expenditure_group,2021,2022
1,Makanan,2.6688194510399734,3.3302497687326635
2,Makanan,1.5971439308530657,2.089883484372115
3,Makanan,2.0573038985439154,3.4057437407952897
4,Makanan,2.2259791490560765,NA
5,Makanan,3.1518354251203204,NA
6,Makanan,1.6050309742819537,NA
7,Makanan,2.7877868386118076,NA
8,Makanan,3.5018708625155828,NA
9,Makanan,3.26873011281458,NA
10,Makanan,2.959830866807609,NA
11,Makanan,2.910128388017107,NA
12,Makanan,3.0447370878864346,NA
